2025-05-28 00:56:00 - Episode 94, Reward: -558.00, Variance: 1187.8989, Epsilon Home: 0.1657, Epsilon Away: 0.3500, Score: 64-12
2025-05-28 00:56:06 - Episode 95, Reward: -640.00, Variance: 1219.6322, Epsilon Home: 0.1654, Epsilon Away: 0.3500, Score: 68-12
2025-05-28 00:56:12 - Episode 96, Reward: -652.00, Variance: 1308.0489, Epsilon Home: 0.1650, Epsilon Away: 0.3500, Score: 39-13
2025-05-28 00:56:18 - Episode 97, Reward: -625.00, Variance: 1353.2222, Epsilon Home: 0.1647, Epsilon Away: 0.3500, Score: 31-16
2025-05-28 00:56:24 - Episode 98, Reward: -610.00, Variance: 1292.1733, Epsilon Home: 0.1644, Epsilon Away: 0.3500, Score: 60-13
2025-05-28 00:56:30 - Episode 99, Reward: -635.00, Variance: 1083.1289, Epsilon Home: 0.1640, Epsilon Away: 0.3500, Score: 33-36
2025-05-28 00:56:36 - Episode 100, Reward: -728.00, Variance: 1705.7822, Epsilon Home: 0.1637, Epsilon Away: 0.3500, Score: 31-5
2025-05-28 00:56:44 - Episode 101, Reward: -594.00, Variance: 1583.6489, Epsilon Home: 0.1634, Epsilon Away: 0.3500, Score: 62-10
2025-05-28 00:56:50 - Episode 102, Reward: -606.00, Variance: 1579.5656, Epsilon Home: 0.1631, Epsilon Away: 0.3500, Score: 65-16
2025-05-28 00:56:56 - Episode 103, Reward: -700.00, Variance: 1897.6222, Epsilon Home: 0.1627, Epsilon Away: 0.3500, Score: 52-0
2025-05-28 00:57:02 - Episode 104, Reward: -626.00, Variance: 1912.9567, Epsilon Home: 0.1624, Epsilon Away: 0.3500, Score: 35-12
2025-05-28 00:57:08 - Episode 105, Reward: -576.00, Variance: 1841.2267, Epsilon Home: 0.1621, Epsilon Away: 0.3500, Score: 95-7
2025-05-28 00:57:14 - Episode 106, Reward: -632.00, Variance: 1566.0489, Epsilon Home: 0.1618, Epsilon Away: 0.3500, Score: 67-16
2025-05-28 00:57:20 - Episode 107, Reward: -622.00, Variance: 1571.9156, Epsilon Home: 0.1614, Epsilon Away: 0.3500, Score: 41-31
2025-05-28 00:57:26 - Episode 108, Reward: -737.00, Variance: 2095.5822, Epsilon Home: 0.1611, Epsilon Away: 0.3500, Score: 15-4
2025-05-28 00:57:33 - Episode 109, Reward: -535.00, Variance: 2284.2989, Epsilon Home: 0.1608, Epsilon Away: 0.3500, Score: 40-51
2025-05-28 00:57:39 - Episode 110, Reward: -686.00, Variance: 2470.0622, Epsilon Home: 0.1605, Epsilon Away: 0.3500, Score: 23-11
2025-05-28 00:57:45 - Episode 111, Reward: -614.00, Variance: 2225.2489, Epsilon Home: 0.1601, Epsilon Away: 0.3500, Score: 77-17
2025-05-28 00:57:51 - Episode 112, Reward: -590.00, Variance: 2213.9556, Epsilon Home: 0.1598, Epsilon Away: 0.3500, Score: 47-6
2025-05-28 00:57:57 - Episode 113, Reward: -667.00, Variance: 2266.9656, Epsilon Home: 0.1595, Epsilon Away: 0.3500, Score: 25-13
2025-05-28 00:58:03 - Episode 114, Reward: -694.00, Variance: 2412.1656, Epsilon Home: 0.1592, Epsilon Away: 0.3500, Score: 70-5
2025-05-28 00:58:09 - Episode 115, Reward: -612.00, Variance: 2331.3656, Epsilon Home: 0.1589, Epsilon Away: 0.3500, Score: 58-17
2025-05-28 00:58:15 - Episode 116, Reward: -620.00, Variance: 2331.1333, Epsilon Home: 0.1586, Epsilon Away: 0.3500, Score: 93-5
2025-05-28 00:58:21 - Episode 117, Reward: -600.00, Variance: 2348.1433, Epsilon Home: 0.1582, Epsilon Away: 0.3500, Score: 53-16
2025-05-28 00:58:27 - Episode 118, Reward: -599.00, Variance: 2335.5822, Epsilon Home: 0.1579, Epsilon Away: 0.3500, Score: 116-16
2025-05-28 00:58:34 - Episode 119, Reward: -588.00, Variance: 2212.8100, Epsilon Home: 0.1576, Epsilon Away: 0.3500, Score: 55-23
2025-05-28 00:58:41 - Episode 120, Reward: -607.00, Variance: 2179.2222, Epsilon Home: 0.1573, Epsilon Away: 0.3500, Score: 60-12
2025-05-28 00:58:47 - Episode 121, Reward: -628.00, Variance: 2065.9656, Epsilon Home: 0.1570, Epsilon Away: 0.3500, Score: 50-24
2025-05-28 00:58:53 - Episode 122, Reward: -590.00, Variance: 2098.4456, Epsilon Home: 0.1567, Epsilon Away: 0.3500, Score: 45-10
2025-05-28 00:59:00 - Episode 123, Reward: -597.00, Variance: 2107.1733, Epsilon Home: 0.1563, Epsilon Away: 0.3500, Score: 54-13
2025-05-28 00:59:06 - Episode 124, Reward: -609.00, Variance: 1961.1433, Epsilon Home: 0.1560, Epsilon Away: 0.3500, Score: 40-13
2025-05-28 00:59:13 - Episode 125, Reward: -525.00, Variance: 2289.9156, Epsilon Home: 0.1557, Epsilon Away: 0.3500, Score: 42-22
2025-05-28 00:59:19 - Episode 126, Reward: -598.00, Variance: 2281.1556, Epsilon Home: 0.1554, Epsilon Away: 0.3500, Score: 24-19
2025-05-28 00:59:26 - Episode 127, Reward: -564.00, Variance: 2387.4989, Epsilon Home: 0.1551, Epsilon Away: 0.3500, Score: 30-11
